Room Description,Guest Room Info
FLEXIBLE RATE|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
2X POINTS PACKAGE|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
PARK AND STAY AAA|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
PARK AND STAY AARP|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
PARK AND GO|2QUEEN HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
BEST AVAILABLE RATE|1 KING MOBILITY/HEARING ACCESS W/TUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room
STANDARD RATE ADA 1BR KING TUB|ADA ONE BEDROOM KING SUITE W/ ADA BATHTUB,Accessible Room
STAY PARK FLY ADA 1BR KING TUB|INCLUDES ONE NIGHT STAY AND 7 NIGHTS,Accessible Room
FLEXIBLE RATE|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
2X POINTS PACKAGE|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
PARK AND STAY AAA|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
PARK AND STAY AARP|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
PARK AND GO|1KING HEARING ACCESSIBLE STUDIO SUITE NOSMOK VISUAL FIRE ALARM/DOOR/PHONE ALERT,Accessible Room
2X POINTS PACKAGE|1 KING MOBILITY/HEARING ACCESS W/TUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room
DREAM AWAY|1 KING MOBILITY/HEARING ACCESS W/TUB NONSMOK VIS FIREALRM/DOOR/PHN ALRT/HDTV,Accessible Room
